Name,date,habitat,transect,quadrat,Aux5,Height (cm),Depth,Camera,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments,Row,Column,Label,Annotator,Date annotated,Machine suggestion 1,Machine confidence 1,Machine suggestion 2,Machine confidence 2,Machine suggestion 3,Machine confidence 3,Machine suggestion 4,Machine confidence 4,Machine suggestion 5,Machine confidence 5,site,management,latitude,longitude
Santa Fe_Cayo Blanco_T1_GOPR3223.JPG,08/03/2021,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,973,801,Dictyota,robot,2022-10-04T18:35:59Z,Dictyota,77,Unk,2,MAL_turf,2,Mont_spp,1,Turf_sand,1,cayo_blanco,Reserve,15.928,-86.037
Santa Fe_Cayo Blanco_T1_GOPR3223.JPG,08/03/2021,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,729,832,Dictyota,robot,2022-10-04T18:35:59Z,Dictyota,76,Unk,2,MAL_turf,2,Mont_spp,1,Turf_sand,1,cayo_blanco,Reserve,15.928,-86.037
Santa Fe_Cayo Blanco_T1_GOPR3223.JPG,08/03/2021,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,922,2108,Dictyota,robot,2022-10-04T18:35:59Z,Dictyota,77,Unk,2,MAL_turf,2,Mont_spp,1,Turf_sand,1,cayo_blanco,Reserve,15.928,-86.037
Santa Fe_Cayo Blanco_T1_GOPR3223.JPG,08/03/2021,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,790,2438,Dictyota,robot,2022-10-04T18:35:59Z,Dictyota,77,Unk,2,MAL_turf,2,Mont_spp,1,Turf_sand,1,cayo_blanco,Reserve,15.928,-86.037
Santa Fe_Cayo Blanco_T1_GOPR3223.JPG,08/03/2021,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,624,3454,Siderastr,robot,2022-10-04T18:35:59Z,Siderastr,53,Mont_spp,3,Unk,3,MAL_turf,3,Turf_sand,2,cayo_blanco,Reserve,15.928,-86.037
Santa Fe_Cayo Blanco_T1_GOPR3223.JPG,08/03/2021,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,831,3012,SP,robot,2022-10-04T18:35:59Z,SP,68,Sand,7,Paly,3,MAL_turf,1,Turf_sand,1,cayo_blanco,Reserve,15.928,-86.037
Santa Fe_Cayo Blanco_T1_GOPR3223.JPG,08/03/2021,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,887,3042,Sand,robot,2022-10-04T18:35:59Z,Sand,71,Turf_sand,4,Mont_spp,2,Unk,2,MAL_turf,2,cayo_blanco,Reserve,15.928,-86.037
Santa Fe_Cayo Blanco_T1_GOPR3223.JPG,08/03/2021,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,675,3874,Dictyota,robot,2022-10-04T18:35:59Z,Dictyota,77,Unk,2,MAL_turf,2,Mont_spp,1,Turf_sand,1,cayo_blanco,Reserve,15.928,-86.037
Santa Fe_Cayo Blanco_T1_GOPR3223.JPG,08/03/2021,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,780,4273,Dictyota,robot,2022-10-04T18:35:59Z,Dictyota,77,Unk,2,MAL_turf,2,Mont_spp,1,Turf_sand,1,cayo_blanco,Reserve,15.928,-86.037
Santa Fe_Cayo Blanco_T1_GOPR3223.JPG,08/03/2021,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,695,3700,Paly,robot,2022-10-04T18:35:59Z,Paly,43,AG,7,LICO,6,Mont_spp,4,MAL_turf,3,cayo_blanco,Reserve,15.928,-86.037
Santa Fe_Cayo Blanco_T1_GOPR3223.JPG,08/03/2021,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1180,787,Dictyota,robot,2022-10-04T18:35:59Z,Dictyota,77,Unk,2,MAL_turf,2,Mont_spp,1,Turf_sand,1,cayo_blanco,Reserve,15.928,-86.037
Santa Fe_Cayo Blanco_T1_GOPR3223.JPG,08/03/2021,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1466,1692,Dictyota,robot,2022-10-04T18:35:59Z,Dictyota,35,Lobophora,8,MAL_turf,6,Unk,4,Pavement,4,cayo_blanco,Reserve,15.928,-86.037
Santa Fe_Cayo Blanco_T1_GOPR3223.JPG,08/03/2021,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1431,3949,Dictyota,robot,2022-10-04T18:35:59Z,Dictyota,77,Unk,2,MAL_turf,2,Mont_spp,1,Turf_sand,1,cayo_blanco,Reserve,15.928,-86.037
Santa Fe_Cayo Blanco_T1_GOPR3223.JPG,08/03/2021,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1884,1288,Sand,robot,2022-10-04T18:35:59Z,Sand,55,Turf_sand,16,Mont_spp,2,Unk,2,MAL_turf,2,cayo_blanco,Reserve,15.928,-86.037
Santa Fe_Cayo Blanco_T1_GOPR3223.JPG,08/03/2021,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1948,1646,Dictyota,robot,2022-10-04T18:35:59Z,Dictyota,32,MAL_turf,6,Lobophora,6,Sand,4,Turf_sand,4,cayo_blanco,Reserve,15.928,-86.037
Santa Fe_Cayo Blanco_T1_GOPR3223.JPG,08/03/2021,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2169,2862,Sand,robot,2022-10-04T18:35:59Z,Sand,74,Turf_sand,3,Unk,2,MAL_turf,2,Mont_spp,1,cayo_blanco,Reserve,15.928,-86.037
Santa Fe_Cayo Blanco_T1_GOPR3223.JPG,08/03/2021,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1807,3570,Dictyota,robot,2022-10-04T18:35:59Z,Dictyota,69,MAL_turf,3,Turf_sand,3,Pavement,2,Unk,2,cayo_blanco,Reserve,15.928,-86.037
Santa Fe_Cayo Blanco_T1_GOPR3223.JPG,08/03/2021,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2045,3135,Turf_sand,robot,2022-10-04T18:35:59Z,Turf_sand,51,Dictyota,8,Pavement,3,Unk,3,MAL_turf,3,cayo_blanco,Reserve,15.928,-86.037
Santa Fe_Cayo Blanco_T1_GOPR3223.JPG,08/03/2021,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2623,2166,Paly,robot,2022-10-04T18:35:59Z,Paly,24,LICO,13,AG,8,Mont_spp,4,Unk,4,cayo_blanco,Reserve,15.928,-86.037
Santa Fe_Cayo Blanco_T1_GOPR3223.JPG,08/03/2021,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2272,2853,Sand,robot,2022-10-04T18:35:59Z,Sand,72,Turf_sand,3,Unk,2,MAL_turf,2,Mont_spp,1,cayo_blanco,Reserve,15.928,-86.037
Santa Fe_Cayo Blanco_T1_GOPR3223.JPG,08/03/2021,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2313,4314,Pseudopter,robot,2022-10-04T18:35:59Z,Pseudopter,63,Turf_sand,3,MAL_turf,3,Unk,3,OctoThnSft,2,cayo_blanco,Reserve,15.928,-86.037
