country,site_code,site_type,data_collection_date,Year,sampling_loc_name,transect_id,inside_or_outside_NTZ,Latitud_decimal_degree,Longitud_decimal_degree,Reef_zone,Water_depth_m,species_scientific_name,Family_name,trophic_group,length_cm,n_individuals,transect_area_sq_m,count_ha,weight_kg,biomass_kg_ha,indicator_species,repeat_sampling_loc,Year_number,notes,information_source
Indonesia,MAYALIB,prototype,2016,2016,Aikor,1,Inside,-0.24,130.87,,,Scolopsis bilineata,NEMIPTERIDAE,,15,1,250,40,0.051903484,2.076139376,NA,YES,5,,
Indonesia,MAYALIB,prototype,2016,2016,Aikor,1,Inside,-0.24,130.87,,,cephalopholis boenak,SERRANIDAE,,15,1,250,40,0.049773044,1.990921765,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2016,2016,Aikor,1,Inside,-0.24,130.87,,,Plectropomus leopardus,SERRANIDAE,,15,1,250,40,0.044362931,1.774517226,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2016,2016,Aikor,1,Inside,-0.24,130.87,,,diagramma melanacrum,HAEMULIDAE,,25,1,250,40,0.203153896,8.126155854,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2016,2016,Aikor,1,Inside,-0.24,130.87,,,diagramma melanacrum,HAEMULIDAE,,20,1,250,40,0.103782951,4.151318056,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2016,2016,Aikor,2,Inside,-0.24,130.87,,,Lutjanus kasmira,LUTJANIDAE,,10,4,250,160,0.014453338,2.31253416,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2016,2016,Aikor,3,Inside,-0.24,130.87,,,caesio cuning,CAESIONIDAE,,10,15,250,600,0.019055891,11.43353477,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2016,2016,Aikor,3,Inside,-0.24,130.87,,,caesio teres,CAESIONIDAE,,15,8,250,320,0.060161768,19.25176579,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2016,2016,Aikor,3,Inside,-0.24,130.87,,,Scolopsis spp.,NEMIPTERIDAE,,15,1,250,40,0.059959988,2.398399527,NA,YES,5,,
Indonesia,MAYALIB,prototype,2016,2016,Aikor,3,Inside,-0.24,130.87,,,cephalopholis boenak,SERRANIDAE,,15,1,250,40,0.049773044,1.990921765,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2016,2016,Aikor,3,Inside,-0.24,130.87,,,Epinephelus Malabaricus,SERRANIDAE,,65,1,1000,10,4.161892412,41.61892412,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2016,2016,Aikor,4,Inside,-0.24,130.87,,,Scolopsis spp.,NEMIPTERIDAE,,10,1,250,40,0.017721649,0.708865947,NA,YES,5,,
Indonesia,MAYALIB,prototype,2016,2016,Aikor,4,Inside,-0.24,130.87,,,caranx melampygus,CARANGIDAE,,30,1,250,40,0.470134166,18.80536665,TARGET,YES,5,,
Indonesia,MAYALIB,prototype,2016,2016,Aikor,5,Inside,-0.24,130.87,,,Caesio cuning,CAESIONIDAE,,20,20,250,800,0.161139367,128.9114936,TARGET,YES,5,,
