country,site_number,site_code,site_type,data_collection_date,Day,Month,Year,pre_post_campaign,sampling_loc,sampling_loc_name,transect_id,inside_or_outside_NTZ,Latitud_decimal_degree,Longitud_decimal_degree,Reef_zone,Water_depth_m,percent_live_coral_cover,percent_soft_coral_cover,percent_algae_cover,percent_other_biota_cover,percent_available_substrate_cover,percent_mobile_substrate_cover,percent_BLK,information_source
Philippines,Phi_26,CULASI_,cohort,1/1/15,1,1,2015,pre,,Malalison Island Marine Sanctuary,ACML1A0515,inside,11.40093,122.01504,,,46,7,28,2,0,17,0,
Philippines,Phi_26,CULASI_,cohort,1/1/16,1,1,2016,pre,,Malalison Island Marine Sanctuary,ACML1A0516,inside,11.40093,122.01504,,,51,0,29,5,0,11,3,
Philippines,Phi_26,CULASI_,cohort,1/1/15,1,1,2015,pre,,Malalison Island Marine Sanctuary,ACML1B0515,inside,11.40093,122.01504,,,41,0,39,2,0,18,1,
Philippines,Phi_26,CULASI_,cohort,1/1/16,1,1,2016,pre,,Malalison Island Marine Sanctuary,ACML1B0516,inside,11.40093,122.01504,,,43,0,36,3,0,13,4,
Philippines,Phi_26,CULASI_,cohort,1/1/16,1,1,2016,pre,,Malalison Island Marine Sanctuary,ACML2A0516,outside,11.896,122.02097,,,37,2,49,4,0,2,6,
Philippines,Phi_26,CULASI_,cohort,1/1/15,1,1,2015,pre,,Malalison Island Marine Sanctuary,ACML2B0515,outside,11.896,122.02097,,,19,0,55,11,0,15,0,
Philippines,Phi_26,CULASI_,cohort,1/1/16,1,1,2016,pre,,Malalison Island Marine Sanctuary,ACML2B0516,outside,11.896,122.02097,,,19,0,56,11,0,11,3,
Philippines,Phi_26,CULASI_,cohort,1/1/15,1,1,2015,pre,,Malalison Island Marine Sanctuary,ACML3A0515,outside,11.4121,122.02798,,,18,0,53,6,0,24,0,
Philippines,Phi_26,CULASI_,cohort,1/1/16,1,1,2016,pre,,Malalison Island Marine Sanctuary,ACML3A0516,outside,11.4121,122.02798,,,16,1,49,5,0,24,5,
Philippines,Phi_26,CULASI_,cohort,1/1/15,1,1,2015,pre,,Malalison Island Marine Sanctuary,ACML3B0515,outside,11.4121,122.02798,,,14,2,51,12,0,20,0,
Philippines,Phi_26,CULASI_,cohort,1/1/16,1,1,2016,pre,,Malalison Island Marine Sanctuary,ACML3B0516,outside,11.4121,122.02798,,,13,2,49,11,1,21,4,
Philippines,Phi_30,LIBERTA,cohort,1/1/15,1,1,2015,pre,,Tinigbas Marine Sanctuary,ALTN1A0515,outside,11.75718,121.85178,,,22,0,67,0,0,10,0,
Philippines,Phi_30,LIBERTA,cohort,1/1/16,1,1,2016,pre,,Tinigbas Marine Sanctuary,ALTN1A0516,outside,11.75718,121.85178,,,33,0,48,1,0,14,3,
