Methodology *,Site *,Management *,Sample date: Year *,Sample date: Month *,Sample date: Day *,Depth *,Transect number *,Benthic attribute *,Quadrat size *,Transect length surveyed *,Quadrat *,Number of points *,Number of points per quadrat *,Number of quadrats *,Observer emails *
benthic_pqt,bajo_calderon_control,Managed Access,2023,6,1,8.3,1,Dictyota,1,50,1,9,10,18,marianoviz1988@gmail.com
benthic_pqt,bajo_calderon_control,Managed Access,2023,6,1,8.3,1,Turf algae,1,50,1,1,10,18,marianoviz1988@gmail.com
benthic_pqt,bajo_calderon_control,Managed Access,2023,6,1,8.3,1,Dictyota,1,50,2,2,10,18,marianoviz1988@gmail.com
benthic_pqt,bajo_calderon_control,Managed Access,2023,6,1,8.3,1,Macroalgae,1,50,2,1,10,18,marianoviz1988@gmail.com
benthic_pqt,bajo_calderon_control,Managed Access,2023,6,1,8.3,1,Sponge,1,50,2,4,10,18,marianoviz1988@gmail.com
benthic_pqt,bajo_calderon_control,Managed Access,2023,6,1,8.3,1,Turf algae,1,50,2,3,10,18,marianoviz1988@gmail.com
benthic_pqt,bajo_calderon_control,Managed Access,2023,6,1,8.3,1,Dictyota,1,50,3,10,10,18,marianoviz1988@gmail.com
benthic_pqt,bajo_calderon_control,Managed Access,2023,6,1,8.3,1,Dictyota,1,50,4,6,10,18,marianoviz1988@gmail.com
benthic_pqt,bajo_calderon_control,Managed Access,2023,6,1,8.3,1,Lobophora,1,50,4,1,10,18,marianoviz1988@gmail.com
benthic_pqt,bajo_calderon_control,Managed Access,2023,6,1,8.3,1,Macroalgae,1,50,4,1,10,18,marianoviz1988@gmail.com
benthic_pqt,bajo_calderon_control,Managed Access,2023,6,1,8.3,1,Sponge,1,50,4,1,10,18,marianoviz1988@gmail.com
benthic_pqt,bajo_calderon_control,Managed Access,2023,6,1,8.3,1,Turf algae,1,50,4,1,10,18,marianoviz1988@gmail.com
benthic_pqt,bajo_calderon_control,Managed Access,2023,6,1,8.3,1,Dictyota,1,50,5,8,10,18,marianoviz1988@gmail.com
benthic_pqt,bajo_calderon_control,Managed Access,2023,6,1,8.3,1,Soft coral,1,50,5,1,10,18,marianoviz1988@gmail.com
benthic_pqt,bajo_calderon_control,Managed Access,2023,6,1,8.3,1,Turf algae,1,50,5,1,10,18,marianoviz1988@gmail.com
benthic_pqt,bajo_calderon_control,Managed Access,2023,6,1,8.3,1,Dictyota,1,50,6,5,10,18,marianoviz1988@gmail.com
benthic_pqt,bajo_calderon_control,Managed Access,2023,6,1,8.3,1,Lobophora,1,50,6,2,10,18,marianoviz1988@gmail.com
benthic_pqt,bajo_calderon_control,Managed Access,2023,6,1,8.3,1,Sand,1,50,6,1,10,18,marianoviz1988@gmail.com
benthic_pqt,bajo_calderon_control,Managed Access,2023,6,1,8.3,1,Turf algae,1,50,6,2,10,18,marianoviz1988@gmail.com
benthic_pqt,bajo_calderon_control,Managed Access,2023,6,1,8.3,1,Dictyota,1,50,7,5,10,18,marianoviz1988@gmail.com
benthic_pqt,bajo_calderon_control,Managed Access,2023,6,1,8.3,1,Lobophora,1,50,7,3,10,18,marianoviz1988@gmail.com
benthic_pqt,bajo_calderon_control,Managed Access,2023,6,1,8.3,1,Sponge,1,50,7,1,10,18,marianoviz1988@gmail.com
benthic_pqt,bajo_calderon_control,Managed Access,2023,6,1,8.3,1,Unknown,1,50,7,1,10,18,marianoviz1988@gmail.com
benthic_pqt,bajo_calderon_control,Managed Access,2023,6,1,8.3,1,Peyssonnelia,1,50,8,1,10,18,marianoviz1988@gmail.com
benthic_pqt,bajo_calderon_control,Managed Access,2023,6,1,8.3,1,Sponge,1,50,8,1,10,18,marianoviz1988@gmail.com
benthic_pqt,bajo_calderon_control,Managed Access,2023,6,1,8.3,1,Turf algae,1,50,8,8,10,18,marianoviz1988@gmail.com
benthic_pqt,bajo_calderon_control,Managed Access,2023,6,1,8.3,1,Dictyota,1,50,9,5,10,18,marianoviz1988@gmail.com
benthic_pqt,bajo_calderon_control,Managed Access,2023,6,1,8.3,1,Lobophora,1,50,9,2,10,18,marianoviz1988@gmail.com
benthic_pqt,bajo_calderon_control,Managed Access,2023,6,1,8.3,1,Macroalgae,1,50,9,1,10,18,marianoviz1988@gmail.com
benthic_pqt,bajo_calderon_control,Managed Access,2023,6,1,8.3,1,Soft coral,1,50,9,2,10,18,marianoviz1988@gmail.com
benthic_pqt,bajo_calderon_control,Managed Access,2023,6,1,8.3,1,Dictyota,1,50,10,5,10,18,marianoviz1988@gmail.com
benthic_pqt,bajo_calderon_control,Managed Access,2023,6,1,8.3,1,Lobophora,1,50,10,1,10,18,marianoviz1988@gmail.com
benthic_pqt,bajo_calderon_control,Managed Access,2023,6,1,8.3,1,Soft coral,1,50,10,3,10,18,marianoviz1988@gmail.com
benthic_pqt,bajo_calderon_control,Managed Access,2023,6,1,8.3,1,Turf algae,1,50,10,1,10,18,marianoviz1988@gmail.com
benthic_pqt,bajo_calderon_control,Managed Access,2023,6,1,8.3,1,Dictyota,1,50,11,6,10,18,marianoviz1988@gmail.com
benthic_pqt,bajo_calderon_control,Managed Access,2023,6,1,8.3,1,Lobophora,1,50,11,1,10,18,marianoviz1988@gmail.com
benthic_pqt,bajo_calderon_control,Managed Access,2023,6,1,8.3,1,Macroalgae,1,50,11,2,10,18,marianoviz1988@gmail.com
benthic_pqt,bajo_calderon_control,Managed Access,2023,6,1,8.3,1,Sponge,1,50,11,1,10,18,marianoviz1988@gmail.com
benthic_pqt,bajo_calderon_control,Managed Access,2023,6,1,8.3,1,Dictyota,1,50,12,4,10,18,marianoviz1988@gmail.com
benthic_pqt,bajo_calderon_control,Managed Access,2023,6,1,8.3,1,Lobophora,1,50,12,2,10,18,marianoviz1988@gmail.com
benthic_pqt,bajo_calderon_control,Managed Access,2023,6,1,8.3,1,Sand,1,50,12,3,10,18,marianoviz1988@gmail.com
benthic_pqt,bajo_calderon_control,Managed Access,2023,6,1,8.3,1,Siderastrea siderea,1,50,12,1,10,18,marianoviz1988@gmail.com
benthic_pqt,bajo_calderon_control,Managed Access,2023,6,1,8.3,1,Dictyota,1,50,13,1,10,18,marianoviz1988@gmail.com
benthic_pqt,bajo_calderon_control,Managed Access,2023,6,1,8.3,1,Macroalgae,1,50,13,1,10,18,marianoviz1988@gmail.com
benthic_pqt,bajo_calderon_control,Managed Access,2023,6,1,8.3,1,Sand,1,50,13,8,10,18,marianoviz1988@gmail.com
benthic_pqt,bajo_calderon_control,Managed Access,2023,6,1,8.3,1,Dictyota,1,50,14,4,10,18,marianoviz1988@gmail.com
benthic_pqt,bajo_calderon_control,Managed Access,2023,6,1,8.3,1,Macroalgae,1,50,14,1,10,18,marianoviz1988@gmail.com
benthic_pqt,bajo_calderon_control,Managed Access,2023,6,1,8.3,1,Sand,1,50,14,5,10,18,marianoviz1988@gmail.com
benthic_pqt,bajo_calderon_control,Managed Access,2023,6,1,8.3,1,Dictyota,1,50,15,8,10,18,marianoviz1988@gmail.com
benthic_pqt,bajo_calderon_control,Managed Access,2023,6,1,8.3,1,Lobophora,1,50,15,2,10,18,marianoviz1988@gmail.com
benthic_pqt,bajo_calderon_control,Managed Access,2023,6,1,8.3,1,Dead coral,1,50,16,1,10,18,marianoviz1988@gmail.com
benthic_pqt,bajo_calderon_control,Managed Access,2023,6,1,8.3,1,Dictyota,1,50,16,6,10,18,marianoviz1988@gmail.com
benthic_pqt,bajo_calderon_control,Managed Access,2023,6,1,8.3,1,Hard coral,1,50,16,1,10,18,marianoviz1988@gmail.com
benthic_pqt,bajo_calderon_control,Managed Access,2023,6,1,8.3,1,Siderastrea siderea,1,50,16,1,10,18,marianoviz1988@gmail.com
