Methodology *,Site *,Management *,Sample date: Year *,Sample date: Month *,Sample date: Day *,Depth *,Transect number *,Benthic attribute *,Quadrat size *,Transect length surveyed *,Quadrat *,Number of points *,Number of points per quadrat *,Number of quadrats *,Observer emails *
photo,mil3,Reserve,2021,6,15,8.34,4,Dictyota,1,50,1,1,10,10,marianoviz1988@gmail.com
photo,mil3,Reserve,2021,6,15,8.34,4,Dictyota,1,50,1,1,10,10,marianoviz1988@gmail.com
photo,mil3,Reserve,2021,6,15,8.34,4,Dictyota,1,50,1,1,10,10,marianoviz1988@gmail.com
photo,mil3,Reserve,2021,6,15,8.34,4,Dictyota,1,50,1,1,10,10,marianoviz1988@gmail.com
photo,mil3,Reserve,2021,6,15,8.34,4,Dictyota,1,50,1,1,10,10,marianoviz1988@gmail.com
photo,mil3,Reserve,2021,6,15,8.34,4,Dictyota,1,50,1,1,10,10,marianoviz1988@gmail.com
photo,mil3,Reserve,2021,6,15,8.34,4,Dictyota,1,50,1,1,10,10,marianoviz1988@gmail.com
photo,mil3,Reserve,2021,6,15,8.34,4,Dictyota,1,50,1,1,10,10,marianoviz1988@gmail.com
photo,mil3,Reserve,2021,6,15,8.34,4,Dictyota,1,50,1,1,10,10,marianoviz1988@gmail.com
photo,mil3,Reserve,2021,6,15,8.34,4,Dictyota,1,50,1,1,10,10,marianoviz1988@gmail.com
photo,mil3,Reserve,2021,6,15,8.34,4,Dictyota,1,50,2,1,10,10,marianoviz1988@gmail.com
photo,mil3,Reserve,2021,6,15,8.34,4,Dictyota,1,50,2,1,10,10,marianoviz1988@gmail.com
photo,mil3,Reserve,2021,6,15,8.34,4,Dictyota,1,50,2,1,10,10,marianoviz1988@gmail.com
photo,mil3,Reserve,2021,6,15,8.34,4,Dictyota,1,50,2,1,10,10,marianoviz1988@gmail.com
photo,mil3,Reserve,2021,6,15,8.34,4,Dictyota,1,50,2,1,10,10,marianoviz1988@gmail.com
photo,mil3,Reserve,2021,6,15,8.34,4,Dictyota,1,50,2,1,10,10,marianoviz1988@gmail.com
photo,mil3,Reserve,2021,6,15,8.34,4,Dictyota,1,50,2,1,10,10,marianoviz1988@gmail.com
photo,mil3,Reserve,2021,6,15,8.34,4,Dictyota,1,50,2,1,10,10,marianoviz1988@gmail.com
photo,mil3,Reserve,2021,6,15,8.34,4,Dictyota,1,50,2,1,10,10,marianoviz1988@gmail.com
photo,mil3,Reserve,2021,6,15,8.34,4,Dictyota,1,50,2,1,10,10,marianoviz1988@gmail.com
photo,mil3,Reserve,2021,6,15,8.34,4,Dictyota,1,50,3,1,10,10,marianoviz1988@gmail.com
photo,mil3,Reserve,2021,6,15,8.34,4,Dictyota,1,50,3,1,10,10,marianoviz1988@gmail.com
photo,mil3,Reserve,2021,6,15,8.34,4,Dictyota,1,50,3,1,10,10,marianoviz1988@gmail.com
photo,mil3,Reserve,2021,6,15,8.34,4,Dictyota,1,50,3,1,10,10,marianoviz1988@gmail.com
photo,mil3,Reserve,2021,6,15,8.34,4,Dictyota,1,50,3,1,10,10,marianoviz1988@gmail.com
photo,mil3,Reserve,2021,6,15,8.34,4,Dictyota,1,50,3,1,10,10,marianoviz1988@gmail.com
photo,mil3,Reserve,2021,6,15,8.34,4,Dictyota,1,50,3,1,10,10,marianoviz1988@gmail.com
photo,mil3,Reserve,2021,6,15,8.34,4,Dictyota,1,50,3,1,10,10,marianoviz1988@gmail.com
photo,mil3,Reserve,2021,6,15,8.34,4,Dictyota,1,50,3,1,10,10,marianoviz1988@gmail.com
photo,mil3,Reserve,2021,6,15,8.34,4,Dictyota,1,50,3,1,10,10,marianoviz1988@gmail.com
photo,mil3,Reserve,2021,6,15,8.34,4,Dictyota,1,50,4,1,10,10,marianoviz1988@gmail.com
photo,mil3,Reserve,2021,6,15,8.34,4,Dictyota,1,50,4,1,10,10,marianoviz1988@gmail.com
photo,mil3,Reserve,2021,6,15,8.34,4,Dictyota,1,50,4,1,10,10,marianoviz1988@gmail.com
photo,mil3,Reserve,2021,6,15,8.34,4,Dictyota,1,50,4,1,10,10,marianoviz1988@gmail.com
photo,mil3,Reserve,2021,6,15,8.34,4,Dictyota,1,50,4,1,10,10,marianoviz1988@gmail.com
photo,mil3,Reserve,2021,6,15,8.34,4,Dictyota,1,50,4,1,10,10,marianoviz1988@gmail.com
photo,mil3,Reserve,2021,6,15,8.34,4,Dictyota,1,50,4,1,10,10,marianoviz1988@gmail.com
photo,mil3,Reserve,2021,6,15,8.34,4,Dictyota,1,50,4,1,10,10,marianoviz1988@gmail.com
photo,mil3,Reserve,2021,6,15,8.34,4,Dictyota,1,50,4,1,10,10,marianoviz1988@gmail.com
photo,mil3,Reserve,2021,6,15,8.34,4,Dictyota,1,50,4,1,10,10,marianoviz1988@gmail.com
photo,mil3,Reserve,2021,6,15,8.34,4,Dictyota,1,50,5,1,10,10,marianoviz1988@gmail.com
photo,mil3,Reserve,2021,6,15,8.34,4,Dictyota,1,50,5,1,10,10,marianoviz1988@gmail.com
photo,mil3,Reserve,2021,6,15,8.34,4,Dictyota,1,50,5,1,10,10,marianoviz1988@gmail.com
photo,mil3,Reserve,2021,6,15,8.34,4,Dictyota,1,50,5,1,10,10,marianoviz1988@gmail.com
