Site *,Management *,Sample date: Year *,Sample date: Month *,Sample date: Day *,Depth *,Transect number *,Transect length surveyed *,Width *,Fish size bin *,Observer emails *,Fish name *,Size *,Count *
punto_11,Reserve,2021,3,7,10,1,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Halichoeres bivittatus,9,2
cayo_blanco,Managed Access,2019,5,3,2,1,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Stegastes planifrons,15.5,2
gmia2,Reserve,2019,5,31,3,8,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Halichoeres bivittatus,8,1
gmia2,Reserve,2019,5,31,2,7,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Microspathodon chrysurus,8,1
gmia2,Reserve,2019,5,31,2,7,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Sparisoma viride,8,2
glia3,Reserve,2019,7,29,5,10,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Lactophrys bicaudalis,8,3
glia3,Reserve,2019,7,29,6,9,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Stegastes planifrons,8,3
glia3,Reserve,2019,7,29,6,9,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Halichoeres radiatus,8,5
glia3,Reserve,2019,7,29,6,9,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Ocyurus chrysurus,15.5,1
glia3,Reserve,2019,7,29,6,9,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Sparisoma aurofrenatum,15.5,11
glia3,Reserve,2019,7,29,5,6,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Mycteroperca bonaci,8,1
gmc3,Managed Access,2019,5,31,7,10,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Sparisoma aurofrenatum,25.5,1
gmc3,Managed Access,2019,5,31,7,8,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Acanthurus coeruleus,8,1
gmc3,Managed Access,2019,5,31,7,7,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Stegastes planifrons,8,7
gmc3,Managed Access,2019,5,31,7,5,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Sparisoma viride,15.5,2
gmc3,Managed Access,2019,5,31,7,5,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Haemulon flavolineatum,13.3,1
gmc3,Managed Access,2019,5,31,7,4,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Chaetodon striatus,8,1
gmc3,Managed Access,2019,5,31,7,3,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Sparisoma viride,25.5,1
gmc3,Managed Access,2019,5,31,7,2,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Microspathodon chrysurus,8,4
gmc3,Managed Access,2019,5,31,7,2,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Holacanthus tricolor,8,2
gmc3,Managed Access,2019,5,31,8,1,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Scarus taeniopterus,15.5,3
