Methodology *,Site *,Management *,Sample date: Year *,Sample date: Month *,Sample date: Day *,Depth *,Transect number *,Benthic attribute *,Interval start *,Transect length surveyed *,Interval size *,Observation interval *,Observer emails *
point,siont1,Reserve,2019,5,12,5,3,Crustose coralline algae,0.5,50,0.5,0.5,marianoviz1988@gmail.com
point,siont2,Managed Access,2019,5,12,5,3,Acropora,0.5,50,0.5,0.5,marianoviz1988@gmail.com
point,talray4,Reserve,2019,4,24,8,2,Heliopora,0.5,50,0.5,0.5,marianoviz1988@gmail.com
point,magin3,Managed Access,2019,4,22,4,3,Acropora,0.5,50,0.5,0.5,marianoviz1988@gmail.com
point,wawon2,Managed Access,2021,3,31,8,1,Other invertebrates,0.5,50,0.5,0.5,marianoviz1988@gmail.com
point,wawon2,Managed Access,2021,3,31,8,1,Rubble,0.5,50,0.5,0.5,marianoviz1988@gmail.com
point,wawon2,Managed Access,2021,3,31,8,1,Sponge,0.5,50,0.5,0.5,marianoviz1988@gmail.com
point,wawon2,Managed Access,2021,3,31,8,1,Turf algae,0.5,50,0.5,0.5,marianoviz1988@gmail.com
point,wawon2,Managed Access,2021,3,31,8,1,Rock,0.5,50,0.5,0.5,marianoviz1988@gmail.com
point,wawon2,Managed Access,2021,3,31,8,1,Bleached soft coral,0.5,50,0.5,0.5,marianoviz1988@gmail.com
point,wawon2,Managed Access,2021,3,31,8,1,Coralline algae,0.5,50,0.5,0.5,marianoviz1988@gmail.com
point,wawon2,Managed Access,2021,3,31,8,1,Silt,0.5,50,0.5,0.5,marianoviz1988@gmail.com
point,talray4,Reserve,2019,4,24,8,2,Soft coral,0.5,50,0.5,0.5,marianoviz1988@gmail.com
point,wawon2,Managed Access,2021,3,31,8,2,Acropora,0.5,50,0.5,0.5,marianoviz1988@gmail.com
point,wawon2,Managed Access,2021,3,31,8,2,Hard coral,0.5,50,0.5,0.5,marianoviz1988@gmail.com
point,magin3,Managed Access,2019,4,22,4,3,Acropora,0.5,50,0.5,0.5,marianoviz1988@gmail.com
point,wawon2,Managed Access,2021,3,31,8,2,Sand,0.5,50,0.5,0.5,marianoviz1988@gmail.com
point,wawon2,Managed Access,2021,3,31,8,2,Soft coral,0.5,50,0.5,0.5,marianoviz1988@gmail.com
point,wawon2,Managed Access,2021,3,31,8,2,Xenia,0.5,50,0.5,0.5,marianoviz1988@gmail.com
point,wawon2,Managed Access,2021,3,31,8,2,Coralline algae,0.5,50,0.5,0.5,marianoviz1988@gmail.com
point,wawon2,Managed Access,2021,3,31,8,2,Coralline algae,0.5,50,0.5,0.5,marianoviz1988@gmail.com
point,kapun1,Managed Access,2019,4,22,5,1,Crustose coralline algae,0.5,50,0.5,0.5,marianoviz1988@gmail.com
point,wawon2,Managed Access,2021,3,31,8,2,Rock,0.5,50,0.5,0.5,marianoviz1988@gmail.com
point,wawon2,Managed Access,2021,3,31,8,2,Turf algae,0.5,50,0.5,0.5,marianoviz1988@gmail.com
point,wawon2,Managed Access,2021,3,31,8,2,Sponge,0.5,50,0.5,0.5,marianoviz1988@gmail.com
point,wawon2,Managed Access,2021,3,31,8,2,Rubble,0.5,50,0.5,0.5,marianoviz1988@gmail.com
point,wawon2,Managed Access,2021,3,31,8,2,Hydroid,0.5,50,0.5,0.5,marianoviz1988@gmail.com
point,magin3,Managed Access,2019,4,22,4,3,Acropora,0.5,50,0.5,0.5,marianoviz1988@gmail.com
point,wawon2,Managed Access,2021,3,31,8,2,Other invertebrates,0.5,50,0.5,0.5,marianoviz1988@gmail.com
point,wawon2,Managed Access,2021,3,31,8,2,Halimeda,0.5,50,0.5,0.5,marianoviz1988@gmail.com
point,wawon2,Managed Access,2021,3,31,8,3,Coralline algae,0.5,50,0.5,0.5,marianoviz1988@gmail.com
point,wawon2,Managed Access,2021,3,31,8,3,Acropora,0.5,50,0.5,0.5,marianoviz1988@gmail.com
point,wawon2,Managed Access,2021,3,31,8,3,Hard coral,0.5,50,0.5,0.5,marianoviz1988@gmail.com
point,wawon2,Managed Access,2021,3,31,8,3,Soft coral,0.5,50,0.5,0.5,marianoviz1988@gmail.com
point,wawon2,Managed Access,2021,3,31,8,3,Sand,0.5,50,0.5,0.5,marianoviz1988@gmail.com
