Site *,Management *,Sample date: Year *,Sample date: Month *,Sample date: Day *,Depth *,Transect number *,Transect length surveyed *,Width *,Fish size bin *,Observer emails *,Fish name *,Size *,Count *
d038,Reserve,2018,3,17,10,5,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Caesio cuning,32,1
m021,Managed Access,2018,3,8,10,1,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Pterocaesio pisang,15,60
m008,Reserve,2018,3,8,10,4,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Acanthurus mata,20,4
m021,Managed Access,2018,3,8,10,4,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Caesio cuning,20,5000
m021,Managed Access,2018,3,8,10,4,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Carcharhinus melanopterus,150,2
m006,Managed Access,2018,3,8,10,2,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Cephalopholis urodeta,25,1
m006,Managed Access,2018,3,8,10,5,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Caesio cuning,20,1200
m004,Managed Access,2018,3,10,10,4,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Lutjanus fulviflamma,22,1
m019,Reserve,2018,3,10,10,1,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Scarus iseri,25,5
m019,Reserve,2018,3,10,10,2,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Carcharhinus melanopterus,130,1
d041,Managed Access,2018,3,12,10,1,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Lethrinus olivaceus,65,1
d041,Managed Access,2018,3,12,10,1,50,"Mixed: >=10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,marianoviz1988@gmail.com,Scarus tricolor,23,3
