Methodology *,Site *,Management *,Sample date: Year *,Sample date: Month *,Sample date: Day *,Depth *,Transect number *,Benthic attribute *,Quadrat size *,Transect length surveyed *,Quadrat *,Number of points *,Number of quadrats *,Number of points per quadrat *,Observer emails *
photo,iniban,Reserve,2022,4,5,7,1,Ctenactis,1,50,1,10,10,10,marianoviz1988@gmail.com
photo,iniban,Reserve,2022,4,5,7,1,Cyphastrea,1,50,2,10,10,10,marianoviz1988@gmail.com
photo,iniban,Reserve,2022,4,5,7,1,Coralline algae,1,50,3,10,10,10,marianoviz1988@gmail.com
photo,iniban,Reserve,2022,4,5,7,1,Dead coral,1,50,4,10,10,10,marianoviz1988@gmail.com
photo,iniban,Reserve,2022,4,5,7,1,Diploastrea,1,50,5,10,10,10,marianoviz1988@gmail.com
photo,iniban,Reserve,2022,4,5,7,1,Favia,1,50,6,10,10,10,marianoviz1988@gmail.com
photo,iniban,Reserve,2022,4,5,7,1,Merulina,1,50,7,10,10,10,marianoviz1988@gmail.com
photo,iniban,Reserve,2022,4,5,7,1,Montastraea,1,50,8,10,10,10,marianoviz1988@gmail.com
photo,iniban,Reserve,2022,4,5,7,1,Pachyseris,1,50,9,10,10,10,marianoviz1988@gmail.com
photo,iniban,Reserve,2022,4,5,7,1,Pectinia,1,50,10,10,10,10,marianoviz1988@gmail.com
photo,iniban,Reserve,2022,4,5,7,1,Platygyra,1,50,11,10,10,10,marianoviz1988@gmail.com
photo,iniban,Reserve,2022,4,5,7,1,Porites,1,50,12,10,10,10,marianoviz1988@gmail.com
photo,iniban,Reserve,2022,4,5,7,1,Psammocora,1,50,13,10,10,10,marianoviz1988@gmail.com
photo,iniban,Reserve,2022,4,5,7,1,Rubble,1,50,14,10,10,10,marianoviz1988@gmail.com
photo,iniban,Reserve,2022,4,5,7,1,Sand,1,50,15,10,10,10,marianoviz1988@gmail.com
photo,iniban,Reserve,2022,4,5,7,1,Silt,1,50,16,10,10,10,marianoviz1988@gmail.com
photo,iniban,Reserve,2022,4,5,7,1,Sponge,1,50,17,10,10,10,marianoviz1988@gmail.com
photo,iniban,Reserve,2022,4,5,7,1,Mussa angulosa,1,50,18,10,10,10,marianoviz1988@gmail.com
photo,iniban,Reserve,2022,4,5,7,2,Anemone,1,50,1,10,10,10,marianoviz1988@gmail.com
photo,iniban,Reserve,2022,4,5,7,2,Coralline algae,1,50,2,10,10,10,marianoviz1988@gmail.com
photo,iniban,Reserve,2022,4,5,7,2,Diploastrea,1,50,3,10,10,10,marianoviz1988@gmail.com
photo,iniban,Reserve,2022,4,5,7,2,Echinophyllia,1,50,4,10,10,10,marianoviz1988@gmail.com
photo,iniban,Reserve,2022,4,5,7,2,Echinopora,1,50,5,10,10,10,marianoviz1988@gmail.com
photo,iniban,Reserve,2022,4,5,7,2,Favia,1,50,6,10,10,10,marianoviz1988@gmail.com
photo,iniban,Reserve,2022,4,5,7,2,Goniastrea,1,50,7,10,10,10,marianoviz1988@gmail.com
photo,iniban,Reserve,2022,4,5,7,2,Isopora,1,50,8,10,10,10,marianoviz1988@gmail.com
photo,iniban,Reserve,2022,4,5,7,2,Porites,1,50,9,10,10,10,marianoviz1988@gmail.com
photo,iniban,Reserve,2022,4,5,7,2,Rubble,1,50,10,10,10,10,marianoviz1988@gmail.com
photo,iniban,Reserve,2022,4,5,7,2,Sand,1,50,11,10,10,10,marianoviz1988@gmail.com
photo,iniban,Reserve,2022,4,5,7,2,Silt,1,50,12,10,10,10,marianoviz1988@gmail.com
photo,iniban,Reserve,2022,4,5,7,2,Sponge,1,50,13,10,10,10,marianoviz1988@gmail.com
photo,iniban,Reserve,2022,4,5,7,2,Mussa angulosa,1,50,14,10,10,10,marianoviz1988@gmail.com
photo,iniban,Reserve,2022,4,6,7,3,Coralline algae,1,50,1,10,10,10,marianoviz1988@gmail.com
photo,iniban,Reserve,2022,4,6,7,3,Coralline algae,1,50,2,10,10,10,marianoviz1988@gmail.com
photo,iniban,Reserve,2022,4,6,7,3,Diploastrea,1,50,3,10,10,10,marianoviz1988@gmail.com
photo,iniban,Reserve,2022,4,6,7,3,Echinopora,1,50,4,10,10,10,marianoviz1988@gmail.com
photo,iniban,Reserve,2022,4,6,7,3,Favia,1,50,5,10,10,10,marianoviz1988@gmail.com
photo,iniban,Reserve,2022,4,6,7,3,Goniastrea,1,50,6,10,10,10,marianoviz1988@gmail.com
photo,iniban,Reserve,2022,4,6,7,3,Merulina,1,50,7,10,10,10,marianoviz1988@gmail.com
photo,iniban,Reserve,2022,4,6,7,3,Oceana,1,50,8,10,10,10,marianoviz1988@gmail.com
photo,iniban,Reserve,2022,4,6,7,3,Platygyra,1,50,9,10,10,10,marianoviz1988@gmail.com
photo,iniban,Reserve,2022,4,6,7,3,Porites,1,50,10,10,10,10,marianoviz1988@gmail.com
photo,iniban,Reserve,2022,4,6,7,3,Rubble,1,50,11,10,10,10,marianoviz1988@gmail.com
photo,iniban,Reserve,2022,4,6,7,3,Sand,1,50,12,10,10,10,marianoviz1988@gmail.com
photo,iniban,Reserve,2022,4,6,7,3,Silt,1,50,13,10,10,10,marianoviz1988@gmail.com
photo,iniban,Reserve,2022,4,6,7,3,Sponge,1,50,14,10,10,10,marianoviz1988@gmail.com
photo,iniban,Reserve,2022,4,6,7,3,Mussa angulosa,1,50,15,10,10,10,marianoviz1988@gmail.com
photo,iniban,Reserve,2022,4,6,7,4,Coralline algae,1,50,1,10,10,10,marianoviz1988@gmail.com
photo,iniban,Reserve,2022,4,6,7,4,Porites,1,50,2,10,10,10,marianoviz1988@gmail.com
photo,iniban,Reserve,2022,4,6,7,4,Rubble,1,50,3,10,10,10,marianoviz1988@gmail.com
photo,iniban,Reserve,2022,4,6,7,4,Sand,1,50,4,10,10,10,marianoviz1988@gmail.com
photo,iniban,Reserve,2022,4,6,7,4,Silt,1,50,5,10,10,10,marianoviz1988@gmail.com
photo,iniban,Reserve,2022,4,6,7,4,Soft coral,1,50,6,10,10,10,marianoviz1988@gmail.com
photo,iniban,Reserve,2022,4,6,7,4,Sponge,1,50,7,10,10,10,marianoviz1988@gmail.com
photo,iniban,Reserve,2022,4,6,7,4,Mussa angulosa,1,50,8,10,10,10,marianoviz1988@gmail.com
photo,iniban,Managed Access,2022,4,5,7,1,Agelas tubulata,1,50,1,10,10,10,marianoviz1988@gmail.com
photo,iniban,Managed Access,2022,4,5,7,1,Coralline algae,1,50,2,10,10,10,marianoviz1988@gmail.com
photo,iniban,Managed Access,2022,4,5,7,1,Coralline algae,1,50,3,10,10,10,marianoviz1988@gmail.com
photo,iniban,Managed Access,2022,4,5,7,1,Diploastrea,1,50,4,10,10,10,marianoviz1988@gmail.com
photo,iniban,Managed Access,2022,4,5,7,1,Rubble,1,50,5,10,10,10,marianoviz1988@gmail.com
photo,iniban,Managed Access,2022,4,5,7,1,Sand,1,50,6,10,10,10,marianoviz1988@gmail.com
photo,iniban,Managed Access,2022,4,5,7,1,Silt,1,50,7,10,10,10,marianoviz1988@gmail.com
photo,iniban,Managed Access,2022,4,5,7,1,Mussa angulosa,1,50,8,10,10,10,marianoviz1988@gmail.com
photo,iniban,Managed Access,2022,4,5,7,2,Agelas tubulata,1,50,1,10,10,10,marianoviz1988@gmail.com
photo,iniban,Managed Access,2022,4,5,7,2,Ascidian,1,50,2,10,10,10,marianoviz1988@gmail.com
photo,iniban,Managed Access,2022,4,5,7,2,Coralline algae,1,50,3,10,10,10,marianoviz1988@gmail.com
photo,iniban,Managed Access,2022,4,5,7,2,Coralline algae,1,50,4,10,10,10,marianoviz1988@gmail.com
photo,iniban,Managed Access,2022,4,5,7,2,Diploastrea,1,50,5,10,10,10,marianoviz1988@gmail.com
photo,iniban,Managed Access,2022,4,5,7,2,Macroalgae,1,50,6,10,10,10,marianoviz1988@gmail.com
photo,iniban,Managed Access,2022,4,5,7,2,Padina,1,50,7,10,10,10,marianoviz1988@gmail.com
photo,iniban,Managed Access,2022,4,5,7,2,Rubble,1,50,8,10,10,10,marianoviz1988@gmail.com
photo,iniban,Managed Access,2022,4,5,7,2,Sand,1,50,9,10,10,10,marianoviz1988@gmail.com
photo,iniban,Managed Access,2022,4,5,7,2,Silt,1,50,10,10,10,10,marianoviz1988@gmail.com
photo,iniban,Managed Access,2022,4,5,7,2,Sponge,1,50,11,10,10,10,marianoviz1988@gmail.com
photo,iniban,Managed Access,2022,4,5,7,2,Mussa angulosa,1,50,12,10,10,10,marianoviz1988@gmail.com
photo,iniban,Managed Access,2022,4,5,7,2,Actinaria,1,50,13,10,10,10,marianoviz1988@gmail.com
photo,iniban,Managed Access,2022,4,6,7,3,Coralline algae,1,50,1,10,10,10,marianoviz1988@gmail.com
photo,iniban,Managed Access,2022,4,6,7,3,Porites,1,50,2,10,10,10,marianoviz1988@gmail.com
photo,iniban,Managed Access,2022,4,6,7,3,Rubble,1,50,3,10,10,10,marianoviz1988@gmail.com
photo,iniban,Managed Access,2022,4,6,7,3,Sand,1,50,4,10,10,10,marianoviz1988@gmail.com
photo,iniban,Managed Access,2022,4,6,7,3,Silt,1,50,5,10,10,10,marianoviz1988@gmail.com
photo,iniban,Managed Access,2022,4,6,7,3,Soft coral,1,50,6,10,10,10,marianoviz1988@gmail.com
